SA3_CODE11,total,perweek,per10k
30101,282,2.4,53.9
30102,323,2.8,55.8
30103,251,2.1,51.5
30201,121,1.0,41.5
30202,209,1.8,40.3
30203,152,1.3,55.0
30204,212,1.8,51.9
30301,113,1.0,31.2
30302,188,1.6,35.3
30303,165,1.4,31.9
30304,86,0.7,29.8
30305,193,1.6,48.5
30306,114,1.0,31.6
30401,68,0.6,28.0
30402,81,0.7,25.2
30403,61,0.5,15.6
30404,109,0.9,30.3
30501,186,1.6,35.7
30502,131,1.1,43.8
30503,263,2.2,42.7
30504,112,1.0,26.0
30601,204,1.7,58.7
30602,444,3.8,63.6
30603,130,1.1,51.7
30604,58,0.5,68.7
30605,133,1.1,46.2
30701,158,1.4,49.8
30702,168,1.4,57.0
30703,134,1.1,46.5
30801,127,1.1,60.3
30802,333,2.8,63.2
30803,565,4.8,69.5
30901,284,2.4,59.4
30902,217,1.9,54.4
30903,341,2.9,70.2
30904,71,0.6,54.3
30905,131,1.1,59.0
30906,334,2.9,72.2
30907,719,6.1,107.6
30908,264,2.3,75.3
30909,315,2.7,72.0
30910,223,1.9,73.7
31001,273,2.3,58.5
31002,242,2.1,57.2
31003,506,4.3,73.1
31004,484,4.1,106.2
31101,67,0.6,73.3
31102,252,2.2,90.7
31103,409,3.5,80.1
31104,187,1.6,72.4
31105,254,2.2,62.8
31106,353,3.0,64.3
31201,127,1.1,48.6
31202,631,5.4,75.2
31203,115,1.0,78.9
31301,166,1.4,66.8
31302,396,3.4,94.0
31303,62,0.5,72.0
31304,319,2.7,76.7
31305,301,2.6,68.3
31401,220,1.9,38.1
31402,403,3.4,109.7
31403,170,1.5,64.3
31501,71,0.6,34.2
31502,100,0.9,41.6
31503,100,0.9,67.2
31601,217,1.9,63.3
31602,375,3.2,69.1
31603,301,2.6,73.3
31604,239,2.0,54.9
31605,203,1.7,72.4
31606,161,1.4,46.1
31701,532,4.5,51.4
31801,135,1.2,42.0
31802,939,8.0,72.3
31901,353,3.0,54.7
31902,161,1.4,45.3
31903,248,2.1,72.1
31904,245,2.1,60.4
31905,201,1.7,61.5
50101,127,1.1,40.6
50102,302,2.6,43.2
50103,43,0.4,26.2
50201,315,2.7,49.2
50301,71,0.6,14.4
50302,167,1.4,21.4
50401,166,1.4,27
50402,76,0.6,24.7
50403,348,3,46.4
50501,278,2.4,24
50502,359,3.1,25.3
50503,499,4.3,46.2
50601,227,1.9,49
50602,167,1.4,31.9
50603,161,1.4,22.9
50604,288,2.5,36.3
50605,124,1.1,30.6
50606,56,0.5,43.7
50607,67,0.6,20
50701,210,1.8,31.9
50702,54,0.5,19.7
50703,122,1,57.2
50704,120,1,15.5
50705,400,3.4,52.9
50801,35,0.3,30.7
50802,13,0.1,18.5
50803,151,1.3,49.2
50804,81,0.7,32.4
50805,176,1.5,44.1
50806,113,1,24.1
50901,152,1.3,36.6
50902,144,1.2,35.6
50903,37,0.3,23.6
90101,1,0,5.8
90102,3,0,73.7
90103,0,0,0
10101,224,1.9,43.9
10102,207,1.8,51.4
10103,57,0.5,39.4
10104,222,1.9,41.4
10201,593,5.1,47.1
10202,739,6.3,65.7
10301,176,1.5,54.0
10302,174,1.5,42.4
10303,147,1.3,43.9
10304,229,2.0,57.4
10401,168,1.4,44.1
10402,339,2.9,54.6
10501,75,0.6,40.1
10502,85,0.7,51.4
10503,251,2.1,50.7
10601,326,2.8,53.5
10602,262,2.2,55.3
10603,256,2.2,49.4
10604,136,1.2,62.4
10701,251,2.1,45.9
10702,0,0.0,0.0
10703,275,2.4,43.9
10704,290,2.5,30.6
10801,115,1.0,47.7
10802,133,1.1,36.9
10803,0,0.0,0.0
10804,266,2.3,46.8
10805,179,1.5,45.1
10901,284,2.4,65.2
10902,34,0.3,36.2
10903,106,0.9,33.7
11001,86,0.7,31.4
11002,79,0.7,27.5
11003,90,0.8,47.9
11004,310,2.6,54.0
11101,342,2.9,37.9
11102,243,2.1,45.0
11103,517,4.4,41.8
11201,212,1.8,37.2
11202,187,1.6,35.8
11203,326,2.8,48.9
11301,196,1.7,57.9
11302,54,0.5,49.6
11303,300,2.6,44.8
11401,280,2.4,38.6
11402,153,1.3,45.2
11501,248,2.1,24.7
11502,53,0.5,27.8
11503,72,0.6,40.6
11504,67,0.6,35.4
11601,444,3.8,47.4
11602,257,2.2,48.8
11603,566,4.8,78.9
11701,111,0.9,35.8
11702,117,1.0,27.8
11703,436,3.7,27.2
11801,250,2.1,25.2
11802,245,2.1,23.1
11901,477,4.1,40.5
11902,361,3.1,38.0
11903,231,2.0,25.2
11904,327,2.8,33.6
12001,134,1.1,22.5
12002,100,0.9,23.5
12003,278,2.4,24.9
12101,141,1.2,18.1
12102,111,0.9,19.2
12103,121,1.0,14.9
12104,169,1.4,22.6
12201,61,0.5,19.6
12202,111,0.9,25.5
12203,264,2.3,24.5
12301,187,1.6,50.8
12302,702,6.0,65.0
12303,115,1.0,43.4
12401,145,1.2,25.1
12402,0,0.0,0.0
12403,526,4.5,57.2
12404,114,1.0,42.8
12405,259,2.2,67.4
12501,183,1.6,32.1
12502,144,1.2,31.4
12503,453,3.9,44.9
12504,279,2.4,28.4
12601,50,0.4,15.0
12602,212,1.8,22.2
12701,335,2.9,58.8
12702,517,4.4,39.1
12703,306,2.6,40.3
12801,248,2.1,30.2
12802,171,1.5,21.4
20101,330,2.8,45.4
20102,67,0.6,32.3
20103,70,0.6,37.2
20201,250,2.1,38.1
20202,90,0.8,26.7
20203,13,0.1,14.9
20301,20,0.2,16.6
20302,469,4.0,34.9
20303,104,0.9,22.3
20401,165,1.4,42.7
20402,132,1.1,38.7
20403,222,1.9,45.0
20501,102,0.9,31.5
20502,111,0.9,33.3
20503,145,1.2,32.5
20504,204,1.7,37.1
20505,110,0.9,34.8
20601,118,1.0,18.0
20602,77,0.7,19.5
20603,90,0.8,18.5
20604,179,1.5,21.0
20605,191,1.6,23.9
20606,151,1.3,31.8
20607,145,1.2,22.4
20701,197,1.7,15.8
20702,116,1.0,16.7
20703,126,1.1,16.6
20801,145,1.2,20.6
20802,216,1.8,19.9
20803,239,2.0,28.0
20804,39,0.3,12.5
20901,241,2.1,25.9
20902,183,1.6,25.7
20903,78,0.7,16.5
20904,569,4.9,45.5
21001,113,1.0,25.9
21002,52,0.4,26.7
21003,150,1.3,28.2
21004,121,1.0,44.0
21005,410,3.5,42.9
21101,351,3.0,30.4
21102,33,0.3,17.0
21103,226,1.9,28.3
21104,100,0.9,22.3
21105,278,2.4,25.6
21201,303,2.6,56.5
21202,336,2.9,36.8
21203,551,4.7,60.7
21204,409,3.5,30.8
21205,258,2.2,19.6
21301,433,3.7,32.4
21302,182,1.6,29.3
21303,161,1.4,27.8
21304,519,4.4,58.4
21305,706,6.0,58.7
21401,492,4.2,50.7
21402,430,3.7,38.2
21501,139,1.2,30.2
21502,199,1.7,52.5
21503,100,0.9,35.3
21601,110,0.9,39.9
21602,86,0.7,39.9
21603,213,1.8,47.8
21701,79,0.7,28.6
21702,177,1.5,27.7
40101,35,0.3,19.2
40102,104,0.9,20.4
40103,43,0.4,12.8
40104,79,0.7,20.5
40105,55,0.5,19.1
40106,30,0.3,13.9
40107,49,0.4,16.5
40201,103,0.9,43.3
40202,406,3.5,70.1
40203,168,1.4,34.8
40204,407,3.5,42.0
40205,200,1.7,28.0
40301,81,0.7,29.1
40302,156,1.3,23.1
40303,56,0.5,11.5
40304,396,3.4,32.3
40401,278,2.4,33.7
40402,159,1.4,35.4
40403,132,1.1,27.7
40501,88,0.8,34.9
40502,59,0.5,34.9
40503,62,0.5,29.8
40504,52,0.4,27.0
40601,141,1.2,33.1
40602,75,0.6,35.1
40701,110,0.9,29.3
40702,196,1.7,41.1
40703,193,1.6,37.0
70101,60,0.5,31.9
70102,137,1.2,35.5
70103,42,0.4,30.4
70104,79,0.7,41.6
70201,97,0.8,37.0
70202,3,0.0,7.7
70203,11,0.1,10.6
70204,4,0.0,4.4
70205,31,0.3,26.0
60101,68,0.6,60.8
60102,150,1.3,39.0
60103,210,1.8,53.3
60104,75,0.6,32.3
60105,87,0.7,21.7
60106,65,0.6,57.4
60201,337,2.9,55.5
60202,60,0.5,35.4
60203,136,1.2,48.4
60301,15,0.1,17.5
60302,41,0.4,29.9
60303,10,0.1,18.4
60401,182,1.6,49.6
60402,179,1.5,54.1
60403,59,0.5,44.0